challenge_type,segment_id,channel_code,state,withdrawn_ref,effective_from,effective_to
sms_otp,ALL,app,not_permitted,CX-2026-0714-SMS-DEPRECATION,2026-07-14,
sms_otp,ALL,web,not_permitted,CX-2026-0714-SMS-DEPRECATION,2026-07-14,
sms_otp,pensioner,ussd,permitted,,2026-01-01,
sms_otp,vulnerable,ussd,permitted,,2026-01-01,
in_app_push,ALL,app,permitted,,2026-01-01,
in_app_push,ALL,web,permitted,,2026-01-01,
in_app_push,ALL,ussd,not_configured,,2026-01-01,
voice_callback,high_value,app,permitted,,2026-01-01,
voice_callback,high_value,web,permitted,,2026-01-01,
voice_callback,youth,app,not_configured,,2026-01-01,
biometric_reauth,ALL,app,permitted,,2026-03-01,
biometric_reauth,ALL,web,not_configured,,2026-03-01,
branch_visit,vulnerable,ALL,permitted,,2026-01-01,
