# statutory_expense_norms
# owner: regulatory_compliance   source: gazette 2026-02-14   effective_from: 2026-03-01
# supersedes: 2024-09-01.csv     approval: COMP-2026-003
# STORED FULLY EXPANDED: 12 bands x 6 dependant buckets = 72 rows x 2 components.
# The dependant multipliers (1.00/1.18/1.33/1.45/1.55/1.62) and marginal uplifts
# (0.00/0.40/0.75/1.05/1.30/1.50 pp) are how this file was GENERATED once. They are
# not how it is read, because a gazette can move one cell without moving its neighbours.
# Abridged here to dependant buckets 0 and 2 for all 12 bands, plus band 6 in full.
band_index,dependants_bucket,band_floor_cents,band_ceiling_cents,fixed_component_cents,marginal_rate
1,0,0,80000,0,1.000000
1,2,0,80000,0,1.000000
2,0,80001,300000,80000,0.067500
2,2,80001,300000,106400,0.075000
3,0,300001,625000,94850,0.067500
3,2,300001,625000,126151,0.075000
4,0,625001,1000000,116788,0.090000
4,2,625001,1000000,155328,0.097500
5,0,1000001,1500000,150538,0.090000
5,2,1000001,1500000,200216,0.097500
6,0,1500001,2500000,195538,0.090000
6,1,1500001,2500000,230735,0.094000
6,2,1500001,2500000,260066,0.097500
6,3,1500001,2500000,283530,0.100500
6,4,1500001,2500000,303084,0.103000
6,5,1500001,2500000,316772,0.105000
7,0,2500001,3500000,285538,0.082000
7,2,2500001,3500000,379766,0.089500
8,0,3500001,5000000,367538,0.082000
8,2,3500001,5000000,488826,0.089500
9,0,5000001,7500000,490538,0.067500
9,2,5000001,7500000,652416,0.075000
10,0,7500001,11000000,659288,0.067500
10,2,7500001,11000000,876853,0.075000
11,0,11000001,16000000,895538,0.067500
11,2,11000001,16000000,1191065,0.075000
12,0,16000001,-1,1233038,0.067500
12,2,16000001,-1,1639941,0.075000
