band_index,low_cents,high_cents,width_cents,region
1,200000,249999,50000,R500 bands to R5 000
2,250000,299999,50000,R500 bands to R5 000
3,300000,349999,50000,R500 bands to R5 000
4,350000,399999,50000,R500 bands to R5 000
5,400000,449999,50000,R500 bands to R5 000
6,450000,499999,50000,R500 bands to R5 000
7,500000,599999,100000,R1 000 bands to R50 000
8,600000,699999,100000,R1 000 bands to R50 000
14,1200000,1299999,100000,R1 000 bands to R50 000 -- CONTAINS THE FEE KINK AT R12 700
15,1300000,1399999,100000,R1 000 bands to R50 000
49,4700000,4799999,100000,R1 000 bands to R50 000
50,4800000,4899999,100000,R1 000 bands to R50 000
51,4900000,4999999,100000,R1 000 bands to R50 000
52,5000000,5499999,500000,R5 000 bands to R150 000 -- INVERSION EDGE
53,5500000,5999999,500000,R5 000 bands to R150 000
61,9500000,9999999,500000,R5 000 bands to R150 000
71,15000000,15999999,1000000,R10 000 bands to R350 000
72,16000000,16999999,1000000,R10 000 bands to R350 000
91,35000000,37999999,3000000,R30 000 bands to R500 000
92,38000000,40999999,3000000,R30 000 bands to R500 000
96,47000000,50000000,3000000,R30 000 bands to R500 000
