# event_ageing_decay -- 14 event types x 6 age bands = 84 cells
# Owner: Business Credit Risk Policy. Cadence: quarterly.
# spec 5.5: "Severity decay is a table, not an expression."
# decay_classes is subtracted from the base severity; severity_floor is the
# value it may never fall below. Types 8 and 14 have a floor equal to their
# initial severity and never decay (floor 3, decay 0 in every band).
# age_band_index: 0=0-6m 1=6-12m 2=12-24m 3=24-36m 4=36-60m 5=60m+
# severity: 0 immaterial, 1 minor, 2 material, 3 disqualifying
effective_from,effective_to,event_type_code,age_band_index,decay_classes,severity_floor
2026-01-01,,1,0,0,1
2026-01-01,,1,1,0,1
2026-01-01,,1,2,0,1
2026-01-01,,1,3,1,1
2026-01-01,,1,4,1,1
2026-01-01,,1,5,2,1
2026-01-01,,2,0,0,0
2026-01-01,,2,1,0,0
2026-01-01,,2,2,1,0
2026-01-01,,2,3,1,0
2026-01-01,,2,4,2,0
2026-01-01,,2,5,3,0
2026-01-01,,3,0,0,1
2026-01-01,,3,1,0,1
2026-01-01,,3,2,1,1
2026-01-01,,3,3,1,1
2026-01-01,,3,4,2,0
2026-01-01,,3,5,3,0
2026-01-01,,5,0,0,0
2026-01-01,,5,1,0,0
2026-01-01,,5,2,1,0
2026-01-01,,5,3,1,0
2026-01-01,,5,4,2,0
2026-01-01,,5,5,2,0
2026-01-01,,6,0,0,0
2026-01-01,,6,1,1,0
2026-01-01,,6,2,2,0
2026-01-01,,6,3,3,0
2026-01-01,,6,4,3,0
2026-01-01,,6,5,3,0
2026-01-01,,8,0,0,3
2026-01-01,,8,1,0,3
2026-01-01,,8,2,0,3
2026-01-01,,8,3,0,3
2026-01-01,,8,4,0,3
2026-01-01,,8,5,0,3
2026-01-01,,14,0,0,3
2026-01-01,,14,1,0,3
2026-01-01,,14,2,0,3
2026-01-01,,14,3,0,3
2026-01-01,,14,4,0,3
2026-01-01,,14,5,0,3
