# event_amount_thresholds -- 14 event types x 3 criticality classes x 2 severities = 84 cells
# Owner: Business Credit Risk Policy. Cadence: quarterly. Effective-dated.
# Overlay target, stack position 1 (grade/overlay_stack.py). The BASE values are
# here and are never edited by an overlay; the overlaid value is layered and both
# are recorded per classified event (spec 5.5 requirements 1 and 2).
# criticality_class: 1 peripheral, 2 significant, 3 critical
effective_from,effective_to,event_type_code,event_type_name,criticality_class,material_threshold,disqualifying_threshold,amount_meaningful
2026-01-01,,1,civil_judgment,3,10000,50000,true
2026-01-01,,1,civil_judgment,2,25000,100000,true
2026-01-01,,1,civil_judgment,1,50000,250000,true
2026-01-01,,2,default_listing,3,5000,40000,true
2026-01-01,,2,default_listing,2,7500,75000,true
2026-01-01,,2,default_listing,1,15000,150000,true
2026-01-01,,3,administration_order,3,0,0,false
2026-01-01,,3,administration_order,2,0,0,false
2026-01-01,,3,administration_order,1,0,0,false
2026-01-01,,4,debt_review_flag,3,0,0,false
2026-01-01,,4,debt_review_flag,2,0,0,false
2026-01-01,,4,debt_review_flag,1,0,0,false
2026-01-01,,5,tax_non_compliance,3,25000,150000,true
2026-01-01,,5,tax_non_compliance,2,50000,300000,true
2026-01-01,,5,tax_non_compliance,1,100000,500000,true
2026-01-01,,6,dishonoured_payment,3,0,0,false
2026-01-01,,6,dishonoured_payment,2,0,0,false
2026-01-01,,6,dishonoured_payment,1,0,0,false
2026-01-01,,7,litigation_summons,3,250000,1000000,true
2026-01-01,,7,litigation_summons,2,500000,2000000,true
2026-01-01,,7,litigation_summons,1,750000,3000000,true
2026-01-01,,8,prior_bank_write_off,3,0,0,true
2026-01-01,,8,prior_bank_write_off,2,0,0,true
2026-01-01,,8,prior_bank_write_off,1,0,0,true
2026-01-01,,9,sequestration_application,3,0,0,true
2026-01-01,,9,sequestration_application,2,0,0,true
2026-01-01,,9,sequestration_application,1,0,0,true
2026-01-01,,10,trace_alert,3,0,0,false
2026-01-01,,10,trace_alert,2,0,0,false
2026-01-01,,10,trace_alert,1,0,0,false
2026-01-01,,11,rehabilitation_order,3,0,0,false
2026-01-01,,11,rehabilitation_order,2,0,0,false
2026-01-01,,11,rehabilitation_order,1,0,0,false
2026-01-01,,12,municipal_default,3,10000,60000,true
2026-01-01,,12,municipal_default,2,20000,120000,true
2026-01-01,,12,municipal_default,1,40000,200000,true
2026-01-01,,13,rental_default,3,10000,60000,true
2026-01-01,,13,rental_default,2,20000,120000,true
2026-01-01,,13,rental_default,1,40000,200000,true
2026-01-01,,14,confirmed_fraud_marker,3,0,0,false
2026-01-01,,14,confirmed_fraud_marker,2,0,0,false
2026-01-01,,14,confirmed_fraud_marker,1,0,0,false
