trigger_code,name,product_code,threshold,window_cycles,notice_class_code,severity_rank,reduction_rule_code,reduction_parameter,observed_column
1,behaviour_score_deterioration,20,60,3,2,5,2,0.90,behaviour_score_drop_3m
1,behaviour_score_deterioration,21,60,3,2,5,2,0.90,behaviour_score_drop_3m
2,grade_migration,20,3,3,2,5,2,0.90,grade_notches_worsened_3m
2,grade_migration,21,3,3,2,5,2,0.90,grade_notches_worsened_3m
3,emerging_arrears,20,1,1,1,2,1,1.00,cycles_past_due_current
3,emerging_arrears,21,1,1,1,2,1,1.00,cycles_past_due_current
4,repeat_arrears,20,2,6,1,1,1,1.00,cycles_past_due_6m
4,repeat_arrears,21,2,6,1,1,1,1.00,cycles_past_due_6m
5,over_limit_persistence,20,3,4,1,3,3,0.90,over_limit_cycles_4
5,over_limit_persistence,21,3,4,1,3,3,0.90,over_limit_cycles_4
6,minimum_payment_persistence,20,6,6,2,6,2,0.95,min_payment_only_cycles_6
6,minimum_payment_persistence,21,6,6,2,6,2,0.95,min_payment_only_cycles_6
7,bureau_distress,20,1,1,1,1,1,1.00,new_adverse_listing_count
7,bureau_distress,21,1,1,1,1,1,1.00,new_adverse_listing_count
8,external_arrears,20,2,1,2,4,2,0.90,external_worst_cycles_past_due
8,external_arrears,21,2,1,2,4,2,0.90,external_worst_cycles_past_due
9,enquiry_velocity,20,6,2,2,8,2,0.95,bureau_enquiries_60d
9,enquiry_velocity,21,6,2,2,8,2,0.95,bureau_enquiries_60d
10,utilisation_spike,20,0.90,2,2,7,2,0.95,mean_utilisation_2c
10,utilisation_spike,21,0.90,2,2,7,2,0.95,mean_utilisation_2c
11,cash_withdrawal_escalation,20,0.45,2,2,7,2,0.90,cash_ratio_2c
11,cash_withdrawal_escalation,21,0.45,2,2,7,2,0.90,cash_ratio_2c
12,dormancy,20,9,9,2,10,4,200000,months_since_last_transaction
12,dormancy,21,9,9,2,10,4,200000,months_since_last_transaction
13,returned_payment_instructions,20,3,6,2,6,2,0.90,returned_instructions_6m
13,returned_payment_instructions,21,3,6,2,6,2,0.90,returned_instructions_6m
14,income_disappearance,20,2,2,2,5,2,0.90,deposit_months_absent
14,income_disappearance,21,2,2,2,5,2,0.90,deposit_months_absent
