behaviour_grade,utilisation_band,mob_band,product_code,multiplier,max_increase,min_increment
1,1,6,20,1.00,0,1000
1,4,5,20,1.35,18000,1000
1,6,5,20,1.60,30000,1000
1,7,5,20,1.70,40000,1000
1,7,6,20,1.75,60000,1000
2,1,6,20,1.00,0,1000
2,2,6,20,1.05,4000,1000
2,3,5,20,1.20,10000,1000
2,4,5,20,1.35,18000,1000
2,5,5,20,1.45,24000,1000
2,6,5,20,1.55,30000,1000
2,7,5,20,1.55,32000,1000
2,7,6,20,1.65,45000,1000
2,8,5,20,1.30,12000,1000
3,4,4,20,1.30,12000,1000
3,6,4,20,1.45,20000,1000
3,7,4,20,1.50,22000,1000
4,4,1,20,1.15,3000,1000
4,6,1,20,1.20,3000,1000
4,7,1,20,1.20,3000,1000
4,4,4,20,1.25,10000,1000
4,6,4,20,1.35,15000,1000
5,4,4,20,1.15,6000,1500
5,6,4,20,1.25,9000,1500
6,4,4,20,1.10,4000,1500
6,6,4,20,1.15,5000,1500
7,4,4,20,1.05,2500,2000
7,6,4,20,1.05,2500,2000
8,4,4,20,1.00,0,2500
9,1,6,20,1.00,0,2500
9,4,4,20,1.00,0,2500
9,7,6,20,1.00,0,2500
10,4,4,20,1.00,0,2500
11,4,4,20,1.00,0,2500
12,4,4,20,1.00,0,2500
1,7,5,21,1.55,20000,500
2,1,6,21,1.00,0,500
2,4,5,21,1.25,9000,500
2,6,5,21,1.40,14000,500
2,7,5,21,1.45,16000,500
2,7,6,21,1.50,20000,500
3,6,4,21,1.30,10000,500
4,4,1,21,1.10,2000,500
4,6,4,21,1.25,7000,500
5,6,4,21,1.15,4500,750
6,6,4,21,1.10,3000,750
7,6,4,21,1.05,1500,1000
9,6,4,21,1.00,0,1000
12,6,4,21,1.00,0,1000
